time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,0.08121082357162819,-0.2605913841647996,11.26558058823837,6.152093001877677,6.232962295826335,0.0,0.2448496599248274,-0.7524406823821757,1.9771951211789633,-0.143636969098419,-0.07580532699751691,0.0,428.9640142701041,427.83952589495686,429.773435373868,427.05701238069753
1.2600000000000007,0.09716607279933642,-0.3090246673285832,11.391103469237672,6.143164740597591,6.2289245052287505,0.0,0.2874865505134463,-0.8630071017009195,2.206264657989394,-0.16190509161635802,-0.05418250070635391,0.0,482.1628158025669,483.7903665750515,482.81724320521414,481.41788152114896
1.3200000000000007,0.11572576188189529,-0.3641932913415507,11.529462992957383,6.133452680686522,6.22565245207144,0.0,0.331526900544596,-0.9770244248067246,2.405073979117863,-0.16179301819810185,-0.05524682058113488,0.0,475.7466060101041,475.6633384469789,474.2505920280703,474.2360687775653
1.3800000000000008,0.13695515394670416,-0.4263022392916725,11.678851098618834,6.12434438140793,6.222399068591692,0.0,0.37646451909082457,-1.0942694048895518,2.5739072341450626,-0.1369805066923972,-0.05225109430333601,0.0,466.99958022857555,467.2313862738459,466.6117575068391,468.52376083466373
1.4400000000000008,0.16073392693097666,-0.49507802470155116,11.834794344683223,6.116121969852646,6.219625439029297,0.0,0.41642889518477194,-1.199022472176364,2.623874980809142,-0.1371596969082356,-0.03630243934780931,0.0,430.8170137764692,432.16200160545765,431.0079103685149,430.97474161944496
1.5000000000000009,0.18705008538080045,-0.5705355536383476,11.995087658469094,6.107735109465825,6.217899014583672,0.0,0.46095098137049534,-1.3170383707652025,2.7187721859065634,-0.14561253265303217,-0.01686653790617693,0.0,445.9446433308585,447.52913333617823,446.55620823149303,445.84801598142553
1.560000000000001,0.21611370134322716,-0.6533714909144848,12.16171538407069,6.0999526105974855,6.216943175197191,0.0,0.5079115313925268,-1.444968089806157,2.8349427980912028,-0.10906041128116511,-0.014121763410592392,0.0,453.98572792109326,454.206008993223,452.80366097209185,455.7186729432268
1.620000000000001,0.2477578277980936,-0.7433394357513656,12.331492794068962,6.093182542325469,6.215842911753413,0.0,0.5469682660466219,-1.554554438169985,2.824135663871282,-0.12170778175624605,-0.028489026438945506,0.0,414.4256138604234,413.16081075796626,414.25372518040103,413.1275752927986
1.680000000000001,0.2817980996619403,-0.840097482524559,12.501053380256122,6.08560747589847,6.214227324919886,0.0,0.5878445346908524,-1.6713799433016974,2.827641087600768,-0.13737144979249163,-0.02397179071972628,0.0,419.3333274667807,419.7253434794395,419.27874335956926,417.8998051883605
1.740000000000001,0.3183995479301222,-0.9442429628632562,12.671949064225968,6.076944590778524,6.213285106115633,0.0,0.632293039942286,-1.8009140298044068,2.8684930185113546,-0.16452254558635715,-0.0028766009802224666,0.0,430.66567627049324,432.44635880988017,433.9135672509627,431.6073449751973
1.8000000000000012,0.3578557905741012,-1.056853305793558,12.847698809087804,6.066873454965975,6.21293001161674,0.0,0.6829030244586178,-1.9537552869963353,2.9891345873110104,-0.17550686642007124,-0.01282684642279659,0.0,459.30621341080297,458.51647878383346,458.867573080345,457.96858279597626
1.8600000000000012,0.400049207103535,-1.177914705650273,13.026375523086761,6.0560538527041565,6.212533504673939,0.0,0.7235807946200628,-2.08254999681308,2.9664731312429624,-0.1922991068822598,0.0035842273692994163,0.0,411.92017014854144,413.3690390609678,414.38894860556616,412.87563316885485
1.9200000000000013,0.4448824087017235,-1.3075319158050913,13.206352946311263,6.044459360845689,6.212810012294584,0.0,0.770801518744156,-2.239115967163027,3.032148161247136,-0.1951930201228336,0.006582133630204789,0.0,443.03772952047206,443.2840763398632,443.9056412939708,443.6315992565227
1.9800000000000013,0.4925004409983721,-1.4466454843088055,13.389655778692038,6.03240091497474,6.213361030892713,0.0,0.8163889097461897,-2.399098608622414,3.0773449040150673,-0.21618421143023409,0.013936048694063929,0.0,437.3839263770826,437.99587025944294,439.56740835768704,437.7835438423452
